Document,Url
Adi Sucipto,https://upload.wikimedia.org/wikipedia/commons/a/a7/Adisucipto_International_Airport.jpg
Gudeg,https://cdn1-production-images-kly.akamaized.net/ry5PMXa2Tg9ywMXsj_F0NEfRbrU=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/1478049/original/015285600_1484878738-20012017-gudeg.jpg
Keraton,https://awsimages.detik.net.id/community/media/visual/2022/01/18/keraton-jogja_169.jpeg?w=1200
Malioboro,https://asset.kompas.com/crops/aQ-o4WXhRzYOnn4r7WsEcfT4UGc=/0x0:972x648/750x500/data/photo/2021/12/26/61c813b14760e.png
Merapi,https://i.pinimg.com/originals/51/db/de/51dbde349a834a97460db5f9f41dc987.jpg
Merbabu,"https://ik.imagekit.io/tvlk/blog/2020/04/Gunung-Merbabu-Wikipedia-1.jpg?tr=dpr-2,w-675"
Prambanan,https://mytrip123.com/wp-content/uploads/2022/04/candi-prambanan-1.jpg
Ratu Boko,https://2.bp.blogspot.com/-duty4YGEWVQ/XDjGRrT7_sI/AAAAAAAABXE/QX9Cx0JEHKYVpIo_RKC4yz3_WGn25jBCQCLcBGAs/s1600/wisata%2Bcandi%2Bratu%2Bboko.jpg
Stasiun Lempuyangan,https://t-2.tstatic.net/jogja/foto/bank/images/stasiun-lempuyangan-sepi_20170911_112846.jpg
Stasiun Tugu,https://upload.wikimedia.org/wikipedia/commons/c/c8/Stasiun_Tugu_2020_2_New_Signage_%2B_Nataru.jpg
Tugu Jogja,https://asset.kompas.com/crops/EAq_3HvTvWBX2P4-VywWw9tpH2s=/0x0:1000x667/780x390/data/photo/2020/03/10/5e677a1b83e8d.jpg
Universitas Islam Indonesia,https://kuliah-sabtu-minggu.com/wp-content/uploads/2023/01/UII.jpg
Universitas Gajah Mada,https://t-2.tstatic.net/jogja/foto/bank/images/ugm-kampus-terbaik-di-indonesia-menurut-qs-asia-university-rankings-2021.jpg
Universitas Negeri Yogyakarta,https://www.uny.ac.id/sites/default/files/2021-12/Kumbara%20Rektorat%20small_0.jpeg
Wayang,https://img.freepik.com/free-vector/wayang-kulit-abstract-person-clouds_52683-46747.jpg
